Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,AT concentration,Temperature,pH,Qm
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,2.11723
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,1.09191
,0.1145,0,460.343,-1.22,7.5,,2,,25,5.5,1.06527
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,4.55405
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,3.70183
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,2.03734
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,1.73107
,0.1253,1,460.343,-1.22,7.5,,2,,25,5.5,2.53003
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,2.49127,13.5871
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,3.03166,15.8217
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,3.89956,16.3334
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,4.86572,29.216
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,6.09389,32.536
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,6.97817,31.8972
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,8.15721,29.8229
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,9.07424,22.9995
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,2.6059,13.0128
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,3.14629,15.3194
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,4.04694,18.7801
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,5.0131,30.7996
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,6.09389,32.1764
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,6.81441,31.3922
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,8.00983,28.6708
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,9.33624,21.3479
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,2.76965,15.6753
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,3.34279,15.9685
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,4.06332,21.8727
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,4.75109,29.2149
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,5.56987,31.5241
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,6.68341,29.4492
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,8.25546,24.6458
0.3,,0,444.44,-1.37,7.7,1690,0.2,10,25,9.02511,20.6257
