Particle size,SSA,Age,Mw,LogKow,pKa2,Solubility,MP concentration,Temperature,pH,logKl
75,15.84,0,319.33,0.46,8.8,400,0.5,35,7,-0.8569852
150,1.941,1,444.44,-1.37,7.7,1690,1,35,,-1.055024092
150,1.941,1,444.44,-1.37,7.7,1690,1,25,,-1.037630664
150,1.941,1,444.44,-1.37,7.7,1690,1,15,,-1.108462542
150,2.653,0,444.44,-1.37,7.7,1690,1,35,,-1.11463878
150,2.653,0,444.44,-1.37,7.7,1690,1,25,,-1.183096161
150,2.653,0,444.44,-1.37,7.7,1690,1,15,,-1.27083521
0.098,67,0,319.33,0.46,8.8,400,,25,,-0.232844134
112.5,1.4,1,460.343,-1.22,7.5,,10,25,5.5,-0.649751982
112.5,1.05,0,460.343,-1.22,7.5,,10,25,5.5,-0.463441557
112.5,3.95,0,460.343,-1.22,7.5,,10,25,5.5,-1.387216143
150,0.2341,0,444.44,-1.37,7.7,1690,5,25,6.8,-0.899629455
280,0.0365,0,444.44,-1.37,7.7,1690,5,25,6.8,-1.408935393
280,0.0596,0,444.44,-1.37,7.7,1690,5,25,6.8,-1.119186408
112.5,1.24,0,444.44,-1.37,7.7,1690,0.4,25,,0.147305238
112.5,2.3,0,444.44,-1.37,7.7,1690,0.4,25,,0.126358727
112.5,1.24,0,331.341,0.28,6.1,19440,0.4,25,,0.198712057
112.5,2.3,0,331.341,0.28,6.1,19440,0.4,25,,0.12037648
125,,0,253.28,0.89,5.7,610,2,25,10,-1.218244625
125,15.806,0,253.28,0.89,5.7,610,2,25,10,-1.412289035
125,3.948,0,253.28,0.89,5.7,610,2,25,10,-0.844663963
125,,0,253.28,0.89,5.7,610,2,25,10,-0.749579998
125,6.43524,0,253.28,0.89,5.7,610,2,25,10,-0.605548319
125,2.544,1,319.33,0.46,8.8,400,5,25,,-1.899629455
125,15.826,0,319.33,0.46,8.8,400,5,25,,-2.055517328
125,3.965,1,319.33,0.46,8.8,400,5,25,,-1.677780705
125,6.488,0,319.33,0.46,8.8,400,5,25,,-1.677780705
125,3.218,1,319.33,0.46,8.8,400,5,25,,-1.420216403
125,12.306,0,319.33,0.46,8.8,400,5,25,,-1.48148606
0.0401,,1,367.802,1.32,6.1,19440,0.5,25,,-1.054531415
,,0,367.802,1.32,6.1,19440,0.5,25,,-0.120330794
30,,1,444.45,-1.37,7.7,1690,0.4,25,,0.316180099
30,0.957,0,444.45,-1.37,7.7,1690,0.4,25,,0.590395947
30,1.068,0,444.45,-1.37,7.7,1690,0.4,25,,0.660391098
30,1.347,0,444.45,-1.37,7.7,1690,0.4,25,,0.696618459
1000,0.079,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.8569852
1000,0.137,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.804100348
1000,0.046,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.764471553
1000,0.065,0,444.44,-1.37,7.7,1690,5,25,5.5,-1.070581074
1000,0.116,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.632644079
1000,0.072,0,444.44,-1.37,7.7,1690,5,25,5.5,-0.809668302
5,0.0532,0,444.44,-1.37,7.7,1690,5,25,,0.82672252
5,0.0481,0,444.44,-1.37,7.7,1690,5,25,,0.790566625
85.5,5.42,1,331.341,0.28,6.1,19440,2,25,,0.514768164
23.3,5.48,0,331.341,0.28,6.1,19440,2,25,,-0.208646253
12.2,5.99,0,331.341,0.28,6.1,19440,2,25,,-0.374091061
7.7,7.48,0,331.341,0.28,6.1,19440,2,25,,-0.360623094
500,0.0824727,1,331.341,0.28,6.1,19440,6.7,25,5.5,-2.301029996
